id,predicted
461940,5316 6596 3860
461941,1676 276 6046
461942,5105 7123 2687
461943,2494 4712 3860
461944,5116 6972 3320
461945,7864 7817 7608
461946,3472 3369 7370
461947,1194 63 7546
461948,13 6984 1661
461949,2602 5923 521
461950,7121 4002 7101
461951,4029 7533 1028
461952,4506 482 1232
461953,619 6417 1300
461954,4853 3670 5084
461955,6751 1208 7122
461956,4479 4808 104
461957,6900 1677 237
461958,1118 913 7198
461959,3938 6645 320
461960,7720 8072 7116
461961,4701 5549 2510
461962,4504 3456 153
461963,1469 482 7860
461964,4923 2569 5759
461965,7411 7139 2000
461966,6193 7099 8094
461967,7679 7478 4424
461968,567 170 2747
461969,3917 2353 5727
461970,7156 7731 6878
461971,2167 8033 467
461972,3531 7619 4811
461973,7971 1771 6806
461974,872 4643 4393
461975,4280 4343 3064
461976,6247 5388 666
461977,857 2818 5071
461978,503 4680 7528
461979,7179 1160 6165
461980,5890 2488 6370
461981,2012 3250 264
461982,3055 6546 1596
461983,4696 6856 1784
461984,5038 7899 7426
461985,7617 4972 7599
461986,5657 6510 7183
461987,2764 5698 5627
461988,4156 2804 2332
461989,2267 1529 469
461990,477 2557 398
461991,7431 5114 3858
461992,5838 6271 1076
461993,4296 1458 4476
461994,4124 185 6247
461995,5914 5021 6308
461996,8028 302 988
461997,6986 610 4780
461998,710 2282 93
461999,1933 7185 3680
462000,6829 6194 799
462001,6770 8037 5068
462002,2554 4059 4139
462003,2006 4545 6204
462004,3001 3178 79
462005,3601 7814 3456
462006,7850 974 1851
462007,4569 6882 3027
462008,7220 1588 50
462009,4718 205 1837
462010,1493 2815 5780
462011,6776 1437 1280
462012,1647 3197 4315
462013,6882 1555 879
462014,3977 8136 87
462015,6682 6538 6182
462016,175 350 8037
462017,5743 5736 3739
462018,6868 838 8001
462019,2857 2901 75
462020,924 2012 6404
462021,7969 1949 4346
462022,2750 6656 5676
462023,1262 4841 7868
462024,2797 2591 6141
462025,278 270 2440
462026,5509 2944 56
462027,5858 4430 5607
462028,363 5784 4474
462029,2225 4171 252
462030,3711 5676 1314
462031,7984 2752 161
462032,693 6970 1000
462033,798 6771 7538
462034,6060 6439 7987
462035,6275 617 1930
462036,4308 221 3496
462037,3521 4018 3458
462038,5811 2124 633
462039,3194 5163 5234
462040,8063 2947 6975
462041,3682 551 6200
462042,4069 2113 3194
462043,1759 3701 1510
462044,5157 5949 5413
462045,3646 6318 2491
462046,6573 1882 7943
462047,1634 5331 5509
462048,2662 3485 7352
462049,8093 4268 6652
462050,4736 4092 5711
462051,3316 4781 7120
462052,4122 3315 881
462053,3092 4428 4088
462054,7525 7524 7665
462055,7607 5498 1665
462056,5456 4209 2098
462057,2530 7687 193
462058,6167 6034 4880
